,ID,project_id,project_title,created_at,checked_out_at,project_url,vote_finished,session_duration,project_name,description,category,cost,district,votes,title_length,description_length,agg_district_code,agg_quartiers,src_district_code,approved,approved_binary,cost_range
0,42,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 12:33:20.703,2022-10-03 12:40:23.624,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:07:02.921000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
1,36,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 12:31:15.898,2022-10-03 12:43:55.311,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:12:39.413000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
2,61,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 12:58:20.016,2022-10-03 12:59:14.138,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:00:54.122000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
3,54,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 12:46:12.057,2022-10-03 13:00:40.854,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:14:28.797000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
4,96,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 14:13:49.856,2022-10-03 14:16:04.708,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:02:14.852000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
5,117,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-03 15:28:10.512,2022-10-03 15:31:58.457,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:03:47.945000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
6,275,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-04 09:23:55.380,2022-10-04 09:25:05.961,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:01:10.581000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
7,680,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-05 16:00:50.522,2022-10-05 16:02:28.046,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:01:37.524000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
8,1010,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-07 04:33:21.842,2022-10-07 04:38:10.997,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:04:49.155000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
9,1013,143,Lampadaires à détecteur de mouvement piste cyclable Sud canal,2022-10-07 05:42:07.805,2022-10-07 05:49:39.988,https://jeparticipe.metropole.toulouse.fr/processes/mes-idees-pour-mon-quartier/f/472/budgets/3/projects/143,True,0 days 00:07:32.183000,Lampadaires à détecteur de mouvement piste cyclable Sud canal,"Bonjour, Modifier les lampadaires actuellement présents le long de la piste cyclable entre rocade Sud (pont piétons cyclable sur la Rocade) et la limite avec Ramonville (autre juridiction qui pourrait également être consultée) pour en faire des lampadaires à éclairage se déclenchant à la nuit tombée (prenant aussi en compte le changement d'heure été/hiver), et seulement en cas de mouvement détecté sur la voie à revêtement pour piétons & cyclables, pour une durée suffisante au temps de déplacement. Avantage : économie d’électricité et sécurisation circulation piétons-vélos. Budget : ne pas remplacer les lampadaires existants, mais les équiper d'un système de détection de mouvement efficace.Modalités de réalisation - Avis technique : Equiper les lampadaires de la piste cyclable le long du Canal du Midi (portion Sud, du pont-Canal des Herbettes à Ramonville) de détecteurs de forme. La détection de forme permet de maîtriser les couts d’exploitation de l’éclairage en apportant la lumière uniquement en cas d’usage avéré sur l’espace public. Il s'agit de détecter la présence de mouvements humains la nuit.",Énergie,50000.0,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,50,61,1115,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0,0-50k
