,project_id,project_name,description,category,cost,district,votes,title_length,description_length,agg_district_code,agg_quartiers,src_district_code,approved,approved_binary
0,195,Déployer des équipements préventifs pour démoustiquer le quartier,"La prolifération des moustiques est un problème régulièrement soulevé par les habitants du quartier d’autant que le phénomène semble s’intensifier d’année en année. Les actions de sensibilisation et de prévention menée auprès de la population sont nécessaires mais ne semblent pas suffisantes, pas plus que des initiatives individuelles des certains habitants. -	Les habitants de Lafourguette souhaitent que soient installés des équipements dans les secteurs publics du quartier : bornes anti-moustiques à phéromones, abris pour les chauves-souris ou nichoirs à hirondelles (voir point H ci-dessus). -	Nous proposons notamment que l’initiative portée par la Mairie dans diverses crèches municipales et écoles de Toulouse soit déployée sur le périmètre de notre quartier.Modalités de réalisation - Avis technique :La Mairie de Toulouse utilise déjà des bornes anti-moustiques, notamment dans les lieux de petite enfance. Leur principe de fonctionnement est d’imiter une présence humaine et de capturer sur l’étape de piqûre. En présence de public, la borne va piéger des moustiques mais d’autres individus vont continuer à piquer.Le dispositif pourrait être complété par l’installation de 40 pièges pondoirs sur le quartier pour lutter contre les moustiques tigres. Les pièges pondoirs stoppent la prolifération (ponte) et capturent les moustiques tigres. Spécifiques à cette espèce, cette solution intervient sur une étape clé et incontournable du cycle de vie du moustique tigre;Les nichoirs à chauve-souris sont moins pertinents car les chauves-souris ont une activité crépusculaire voire nocturne, et les moustiques tigres piquent particulièrement en journée (matinée et début de soirée avant la tombée de la nuit), de fait ce ne sont pas les prédateurs les plus appropriée pour lutter contre ces moustiques.",Nature en ville,5700,14 - Saint-Simon / Lafourguette / Oncopole-Campus Santé du Futur,85,65,1811,14,Saint-Simon / Lafourguette / Oncopole-Campus Santé du Futur,6.4,True,1
1,145,Désimperméabiliser et végétaliser le carrefour Ducuing/Salade Ponsan,"Le carrefour av. Ducuing/Salade Ponsan est surdimensionné avec un 2 grands terre-pleins imperméabilisés et inutiles, une chaussée en 3 parties, chacune très large. Cette configuration avec des angles très larges incite de plus à la vitesse. Cette place perdue et bitumée mériterait un aménagement : - ne conserver qu'une voie double sens dans un carrefour resserré et des aménagements cyclables - trottoirs agrandis surtout à l'ouest - la place libérée serait désimperméabilisée et végétalisée. Ce serait un porte d'entrée intéressante vers Pech David surtout avec la future OAP Larrey.Modalités de réalisation - avis technique :La végétalisation des terre-plein au carrefour Ducuing/Salade Ponsan sera assurée par le Plan Arbres de Toulouse Métropole, durant le mandat. A la place, il est proposé de financer un aménagement cyclable sur l’avenue Joseph Ducuing, ainsi que sur le Chemin de Pouvourville. Ces aménagements prendraient la forme de Chaussées à Voie Centrale Banalisée (CVCB). A noter que pour les besoins de l’aménagement sur l'Avenue Ducuing, le stationnement longitudinal du côté opposé à la Faculté de Médecine serait supprimé.",Nature en ville,200000,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,38,68,1143,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,False,0
2,25,Végétaliser la rue Matabiau,"La rue Matabiau est une des grandes portes d'entrée de l'hypercentre Toulousain. Avec de nombreux immeubles typiques, et une vie de quartier dynamique, cette rue n'en demeure pas moins un ilot de chaleur, et manque globalement de nature. Aussi, nous proposons de végétaliser la rue Matabiau sur son segment entre la place Jeanne D'Arc et la place Roquelaine (secteur de la rue le plus facilement aménageable rapidement), afin de créer un environnement sain et durable. Pour cela, nous proposons l'implantation de jardinières et d'arbres via un empiétement sur certaines places de stationnement, et la mise en oeuvre d'une politique d'incitation au fleurissement des balcons avec des jardinières suspendues. Concrètement, nous proposons l'implantation d'entre 12 et 20 arbres / arbustes côté impair de la rue (côté où les places de stationnement sont présentes), avec parterres fleuris, dans des jardinières géantes intégrées à l'environnement urbain. Ces jardinières seraient placés sur la chaussée (afin de ne pas réduire l'espace piéton), entre certaines places de stationnement ou à la place de certaines d'entre elles. Certaines zones de livraison (qui sont surtout utilisées pour le stationnement) seraient réduites. Pour encourager un fleurissement des balcons en harmonie, nous proposons que la mairie choisisse un modèle de jardinière adapté aux balcons toulousains, et offre la possibilité d'un achat à prix réduits de chaque habitant de la rue, avec une proposition d'espèces de plantes à semer robuste et fleuri (ex: pelargonium de différentes couleurs, bruyère, lière...). L'objectif de ce projet est d'offrir de l'ombre dans une rue large passante, de la même façon que cela a été mené pour la rue de la Concorde toute proche. Ce projet permettrait d'impliquer à la fois la municipalité et les habitants de la rue. Dans un second temps, il pourrait d'autre part être envisagé de végétaliser certaines façade, notamment celles des bâtiments publiques tels que l'école Matabiau. La végétalisation de l'espace urbain permettrait une amélioration de la qualité de l'air, une diminution des ilots de chaleur et une amélioration de la qualité de vie des habitants du quartier.Modalités de réalisation - Avis technique :La végétalisation de la place Roquelaine est un projet en cours d'étude par la Collectivité. L’architecte des bâtiments de France souhaite l'aménagement d'une forêt urbaine intégrant une aire de jeu sur l’emprise complète de la place. L’enveloppe de ce type d’aménagement se situe aux environs de 500 000€ et ne peut rentrer dans le cadre de cet appel à projet.Concernant la rue Matabiau, afin de ne pas contraindre un éventuel projet d'aménagement futur de la rue, un système de jardinières peut être envisagé sur les places de stationnement. Ce type d'aménagement nécessitera un accompagnement de voirie car ces éléments pourraient constituer des obstacles sur chaussée et présenter un danger pour les cyclistes.",Nature en ville,200000,3 - Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,95,27,2940,3,Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,1.3,True,1
3,142,Voie verte pour aller à Pech David,"Le chemin des Oliviers dessert la zone verte de Pech David. Ce chemin à caractère rural est agréable mais malheureusement l'objet de dépôts sauvage et autre rodéos en quads. Ce n'est pas un axe primordiale de desserte car les habitations ne sont qu'en bas et accessible par le chemin de la Salade Ponsan. Il pourrait être transformé en voie verte avec début/fin au niveau des portiques de limitation de hauteur avec interdiction aux véhicules motorisés.Modalités de réalisation - Avis technique :Aménagement d’un chemin piéton sur le Chemin des Oliviers, mettant en valeur l’accès au cadre naturel et privilégié de la zone verte de Pech-David en privilégiant les modes de déplacements doux.  Si le projet est lauréat, cela permettrait de mettre en place un cheminement à caractère “tactique” ou “provisoire”, avant sa pérennisation.",Éco-mobilité,200000,13 - Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,93,34,832,13,Rangueil / Sauzelong / Jules-Julien / Pech-David / Pouvourville,5.2,True,1
4,27,Végétalisation et convivialité du quartier Saint-Aubin,"Pour lutter contre les îlots de chaleur urbaine mais aussi pour rendre le quartier plus agréable, une solution simple est de végétaliser les rues et les espaces libres en retirant le bitume dès que possible. Dans le quartier, de nombreux espaces s’y prêtent. De nombreuses espèces végétales (arbres, arbustes et fleurs) sont adaptées à nos climats très secs en été. Voir, par exemple, les guides édités par le CEREMA, organisme national que Toulouse Métropole a d’ailleurs sollicité sur le sujet : https://www.cerema.fr/fr/actualites/accompagnement-toulouse-metropole-identifier-potentiel D’autre part, la débitumisation des sols est de loin préférable à la simple pose de jardinières car elle participe à la désimperméabilisation des sols. L’arrosage de ces espaces de pleine terre pourrait se faire en déviant partiellement les eaux pluviales. Cette végétalisation doit s’accompagner de l’installation de mobilier urbains (bancs, chaises, jeux pour les enfants) permettant aux habitants de se réapproprier leur quartier. Par exemple nous proposons : - Rue Riquet : débitumiser des places de parking (par exemple alterner 2-3 places végétalisées avec 4-5 places de stationnement). L’espace libéré sera planté d’arbres, d’arbustes ou de massifs floraux selon les contraintes liées aux réseaux souterrains. Un tel aménagement pourrait aussi très bien être fait rue Gabriel Péri. - Rue Riquet / sur la place Saint-Aubin où les trottoirs sont larges : remplacer les poteaux par une bande végétale de 80 cm de largeur. - Place Bachelier : cette place est grande et entièrement minérale. Il y a l’espace suffisant pour y installer des arbres mais aussi de grands massifs en pleine terre. Il serait également possible d’y installer des bancs, par exemple des bancs circulaires autour des arbres nouvellement plantés. Cette place pourrait devenir un îlot de fraîcheur. - Autour de l’église Saint-Aubin : installer des bancs sous l’ombre des arbres.Modalités de réalisation - Avis technique :Sur la place Saint-Aubin, la présence du marché contraint fortement toute implantation sur ces espaces. Une végétalisation supplémentaire parait complexe au vu des usages de cette place.De plus, la présence d’un parking souterrain au devant de l’église ne permet peu ou pas de plantation en pleine terre.Toutefois, une étude pour la mise en place de jardinières pour végétaliser les pergolas sur les entrées du parking est en cours.Concernant la rue Riquet, le projet de végétalisation doit être concerté à la rentrée de septembre avec les riverains et commerçants.Pour la place Bachelier, il est possible de planter des arbres, au nombre de 3.",Nature en ville,30000,3 - Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,94,54,2628,3,Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,1.3,True,1
5,26,Arborer la rue Raymond IV,"Constat : La Rue Raymond IV par son orientation nord-sud est un puit de chaleur qui sectionne le quartier dès le mois de juin jusqu'au mois d'octobre. Proposition : sur le modèle de deux rues parallèles qui l'entourent, la rue Bayard et la rue de la Concorde : végétaliser la rue par l'implantation d'arbres de chaque coté. Faisabilité : avec des trottoirs plus larges que la rue de la concorde, une telle implantation est tout à fait possible sans impact sur le stationnement. Avantages - créer une zone de fraicheur - répondre à la pollution causée par la gare de bus de Jeanne d'arc en absorbant l'excès de CO2 - Assurer une nouvelle maille verte entre les boulevards et le canal du midi - Répondre à l'objectif de 100 000 arbres de ToulouseModalités de réalisation - Avis technique :La possibilité de neutraliser quelques places de stationnement au profit d’espace végétalisés peut être envisagée. Sous réserve d'études de localisation des réseaux précises afin de déterminer le type de végétaux pouvant être plantés sur ces espaces.La rue Raymond IV dispose de nombreux stationnements situés de part et d’autre de la voie. Cette rue est entièrement minéralisée et exposée au soleil. La présence de réseaux a été relevée sous trottoirs et le réseau gaz est présent sous le stationnement situé côté pair.La création d'ilots végétalisés avec plantation d’arbres est donc possible sur le coté impair de la voie.",Nature en ville,200000,3 - Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,65,25,1412,3,Les Chalets / Bayard / Belfort / Saint Aubin / Dupuy,1.3,False,0
6,197,Installer une «tour-nichoir à hirondelles» dans une zone verte du cœur de quartier Lafourguette,"Plusieurs sources nous alertent sur la chute spectaculaire de la population d’hirondelles en deux décennies. Le réchauffement climatique perturbe sa migration, l’urbanisation et l’artificialisation des sols lui enlèvent les éléments naturels nécessaires à la construction de nids. Pourtant, les hirondelles sont un maillon essentiel de la biodiversité : elles peuvent manger jusqu’à 3 000 insectes par jour. Nous avons identifié deux initiatives en région Occitanie qui pourraient être reprises dans notre quartier à titre expérimental, avant d’être déployée dans d’autres quartiers de Toulouse.-	L’installation d’une « tour à hirondelles » à Auch, projet porté par le Groupe Ornithologique Gersois -	Un projet de composteurs-nichoirs pour oiseaux en ville porté par la Jeune Chambre Economique de Montpellier",Nature en ville,10000,14 - Saint-Simon / Lafourguette / Oncopole-Campus Santé du Futur,13,95,809,14,Saint-Simon / Lafourguette / Oncopole-Campus Santé du Futur,6.4,False,0
7,132,Lutte anti-moustiques,"Mise en place de pièges à moustiques dans le quartier du Pont des Demoiselles: Capture des moustiques par aspiration grâce à des bornes/pièges (obturateurs) made in France simulant l'odeur humaine. Système respectueux de l'environnement.Modalités de réalisation - Avis technique :Installation de trois bornes “anti-moustiques” au sein du quartier Pont des Demoiselles. Ces bornes combinent deux facteurs : 1) La diffusion lente de CO² 2) Les composés organiques volatiles. En plus de leur efficacité, ces bornes ont également l'avantage de respecter la biodiversité. Elles seront placées aux abords des équipements publics.",Nature en ville,7500,12 - Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,258,21,623,12,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,True,1
8,78,Réhabiliter l’impasse des Minimes ,"L’Impasse Des Minimes située entre le boulevard de l’embouchure d’une part et l’avenue des Minimes d’autre part est laissée à l’abandon. Au niveau du boulevard de l’embouchure, le manque d’aménagements et d’entretien entraine les dépôts illicites quasi quotidiennement. Le manque d’aménagements encore entraîne le stationnement des véhicules (journée et nuit) malgré l’interdiction. Le manque d’entretien entraîne des nids de poules et les gravillons projetés par les voitures abîment les portes des rez de chaussée. L’impasse (côte avenue) n’est pas lavée et sert d’urinoir public, d’aire de pique nique avec les gènes que cela entraînent. Côté avenue des Minimes, les voitures stationnent devant l’entrée de l’impasse. Face à ces constats, compte tenu de la proximité immédiate de l’avenue des Minimes rénovée, du conseil départemental, compte tenu de la zone située dans le périmètre monument historique, compte tenu des incivilités récurrentes, Je propose de repenser cette impasse et de la rendre à sens unique. Je propose également de la végétaliser dans la mesure du possible. Bref l’embellir afin qu’elle ne soit pas une artère de seconde zone dans le quartier des Minimes. Tout cela peut se faire par étape en respectant l’enveloppe allouée.Modalités de réalisation - Avis technique :Une concertation est en cours avec les riverains pour une mise en sens unique et une double voie cyclable. Les aménagements définitifs avec végétalisation sont réalisables.",Cadre de vie,150000,8 - Minimes / Barrière de Paris / Ponts-Jumeaux / La Vache / Raisins / Fondeyre,23,34,1465,8,Minimes / Barrière de Paris / Ponts-Jumeaux / La Vache / Raisins / Fondeyre,3.1,False,0
9,122,Aire convivialité espace vert rue de l'Isére / rue de l'Invention,"Création d'une aire de convivialité dans l'espace vert situé au bas de la rue de l'Isère: tables, bancs, possibilité de pique-nique, quelques jeux d'enfants, table de ping-pong.Modalités de réalisation - Avis technique :Après analyse des services compétents cette idée est réalisable sous réserve d'un avis favorable des riverains. Il est possible d'installer du mobilier urbain de type tables de pique nique et bancs. La proposition d'installer une aire de jeux ne pourra pas être retenue compte tenu de la proximité immédiate de deux aires de jeux récemment rénovées (square Rougenet en 2020 et Grande Plaine qui sera livrée fin 2022). Enfin, les services alertent sur le risque de nuisances engendrées par la pose de mobilier urbain de ce type à proximité d'habitations.",Cadre de vie,75000,11 - Bonhoure / Guilheméry / Château de l'Hers / Limayrac / Côte Pavée,5,65,773,11,Bonhoure / Guilheméry / Château de l'Hers / Limayrac / Côte Pavée,4.3,False,0
