project_id,project_name,description,category,cost,votes,agg_quartiers,src_district_code,approved,approved_binary
132,Lutte anti-moustiques,Mise en place de pièges à moustiques dans le quartier du Pont des Demoiselles: Capture des moustiques par aspiration grâce à des bornes/pièges (obturateurs) made in France simulant l'odeur humaine. Système respectueux de l'environnement.,Nature en ville,7500,258,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,True,1
78,Réhabiliter l’impasse des Minimes ,"L’Impasse Des Minimes située entre le boulevard de l’embouchure d’une part et l’avenue des Minimes d’autre part est laissée à l’abandon. Au niveau du boulevard de l’embouchure, le manque d’aménagements et d’entretien entraine les dépôts illicites quasi quotidiennement. Le manque d’aménagements encore entraîne le stationnement des véhicules (journée et nuit) malgré l’interdiction. Le manque d’entretien entraîne des nids de poules et les gravillons projetés par les voitures abîment les portes des rez de chaussée. L’impasse (côte avenue) n’est pas lavée et sert d’urinoir public, d’aire de pique nique avec les gènes que cela entraînent. Côté avenue des Minimes, les voitures stationnent devant l’entrée de l’impasse. Face à ces constats, compte tenu de la proximité immédiate de l’avenue des Minimes rénovée, du conseil départemental, compte tenu de la zone située dans le périmètre monument historique, compte tenu des incivilités récurrentes, Je propose de repenser cette impasse et de la rendre à sens unique. Je propose également de la végétaliser dans la mesure du possible. Bref l’embellir afin qu’elle ne soit pas une artère de seconde zone dans le quartier des Minimes. Tout cela peut se faire par étape en respectant l’enveloppe allouée.",Cadre de vie,150000,23,Minimes / Barrière de Paris / Ponts-Jumeaux / La Vache / Raisins / Fondeyre,3.1,False,0
122,Aire convivialité espace vert rue de l'Isére / rue de l'Invention,"Création d'une aire de convivialité dans l'espace vert situé au bas de la rue de l'Isère: tables, bancs, possibilité de pique-nique, quelques jeux d'enfants, table de ping-pong.",Cadre de vie,75000,5,Bonhoure / Guilheméry / Château de l'Hers / Limayrac / Côte Pavée,4.3,False,0
149,Un jardin en mouvement le long de la voie ferrée et le rectorat,"Pour accroitre la connaissance des citadins dans le fonctionnement des écosystèmes urbains, des plantes, des insectes... pourrait-on investir dans de nouvelles plantations la bande verte le long du rectorat et de la voie SNCF ? Les nouvelles plantations seraient composée : - de plantes annuelles/bianuelles semées (bleuet, centaurée, vesces, lotus, viperine, hypericum, knautia, chicorée, senecon, - des arbustes plantés : sureau, arbousier, figuier, chevrefeuilles... - des arbres plantés, semés, bouturés... - des installations artistique : pièges à graines, tresse de branches, rondins en décompositionPour que cet espace n'apparaissent pas abandonnée l'entretien des services techniques resterait similaire en temps passé mais orienté vers une recherche de diversité d'habitats, de gîtes et couverts. Une expérience animée par des relevés floristiques et faunistiques par les agents de la ville. Cet espace pourrait également accueillir les plantations des écoliers du quartier. Cette bande fait 250x13m de large, une belle opportunité !",Nature en ville,11000,50,Saint-Michel / Saint-Agne / Empalot / Le Busca / Ile du Ramier / Monplaisir,5.3,True,1
129,Zone de Street Workout - Parc de la boisseraie,"Pour favoriser la pratique sportive et l'entretien physique des habitants, il serait intéressant d'installer une zone de street workout (barres de tractions, échelles horizontales, barres parallèles, espaliers, barres de pompes ...) dans le parc de la boisseraie.",Cadre de vie,20000,31,Pont des Demoiselles / Ormeau / Montaudran / La Terrasse / Malepère,5.1,False,0
77,Faire de la Place Amat Massot ... une place ECO-CITOYENNE conviviale !,"Transformer la place Amat Massot en un carré de verdure, ramener de la biodiversité végétale et animale, en (re)faire un lieu de vie et de rencontre pour les habitants du quartier, tels sont les objectifs de notre projet ! Aujourd’hui, la place Amat Massot manque d’entretien. Elle est principalement source de stationnement sauvage, le sol et le mobilier (quelques bancs) sont vétustes, et elle est régulièrement envahie de déchets et de déjections canines, ce qui rend cet espace peu agréable, sous utilisé et squatté. Or, de par son emplacement (à proximité collège, lycée, clinique, EHPAD, future ligne de métro) et aux arbres déjà plantés, elle présente un fort potentiel et ne demande qu’à être valorisée !Notre proposition:1. Réhabiliter la place
Réhabiliter les sols en stabilisé (non goudronné, non gazonné)
Remplacer et compléter le mobilier
Mettre en place un distributeur de sacs à déjections canines (des poubelles sont déjà à disposition)
Délimiter la place et lutter contre le stationnement sauvage par la pose de bacs et de poteaux végétalisés
Intégrer des racks à vélos
2. Ramener de la biodiversité végétale et animale
Créer des massifs en mixant les essences et les variétés des plantations pour assurer la biodiversité
Installer des maisons à oiseaux, notamment pour les mésanges, ce qui permettra de lutter contre les moustiques
Intégrer un hôtel à insectes qui serait construit lors d’un atelier mené par le Collectif (projet déjà mené par des membres du collectif dans une école du quartier)
Mettre en place une habitation pour les hérissons, très présents dans le quartier
3. Recréer un lieu de vie et de rencontre intergénérationnelle
Intégrer quelques carrés potagers que le Collectif s’engage à maintenir au travers d’atelier jardinage
Placer une boite à lire
Prévoir une table d’échec
Si la mairie l’autorise et confirme la faisabilité, proposition de customiser des bancs avec de la mosaïque sur le thème de la nature
Nous nous tenons à votre disposition pour vous présenter plus en détail le projet, et notamment partager avec vous une ébauche de maquette !",Nature en ville,200000,145,Minimes / Barrière de Paris / Ponts-Jumeaux / La Vache / Raisins / Fondeyre,3.1,True,1
82,Prévoir des pistes cyclables sécurisées pour relier le quartier des Sept-Deniers à Ginestous,"Actuellement pour faire la jonction il n'y a rien, si ce n'est que de passer sur la route qui est très empruntée par de nombreuses voitures, poids lourds. Les jeunes qui vont grimper à la salle de Sport Block'out doivent passer par deux ronds points appelés Lublin-Lebrère puis Degon. C'est très dangereux! Un rond-point par définition est très dangereux pour un cycliste!",Éco-mobilité,200000,36,Sept Deniers / Ginestous-Sesquières / Lalande,3.2,True,1
45,Libérer les pieds des arbres avenue de Muret et route d'Espagne,Sur la section de l'avenue de Muret entre la place de la Croix de Pierre et le Rond point du 21 septembre. - délimiter partout où c'est possible des espaces à végétaliser autour des arbres (2mx2m par exemple) en retirant le goudron et créant des zones délimitées par des petits marquages en bois (+/- 20 cm de haut). Proposition de graines par les services de la Mairie et liberté aux riverains de planter des plantes d'ornement ou autres. Sur la section route d'Espagne entre le rond point du 21 septembre et la rocade: - supprimer la couverture goudronnée entre les arbres du terre-plein central.,Nature en ville,192000,29,Croix de Pierre / Route d'Espagne,2.2,False,0
181,Aménagement voie accès Ecole maternelle Victor Hugo,"Localisation: le passage entre rue Georges Rouault et imp. François Foulquier. Cette voie est impraticable dès qu’il pleut ce qui rend l’accès à l’école maternelle Victor Hugo, espaces petite enfance et plus loins l’école élémentaire Victor Hugo compliqué pour les enfants et les parents. Souvent inondé l’eau stagne dans cette zone jusqu’à évaporation.",Cadre de vie,30000,2,Mirail-Université / Reynerie / Bellefontaine,6.3,False,0
95,Végétalisation des murs extérieurs de l'école du Grand Selve,"Les murs de cette école neuve sont en béton brut d'aspect très austère, genre enceinte d'une prison, et ils emmagasinent la chaleur. Une misérable plate bande de végétation basse (déjà envahie par les mauvaises herbes ), les sépare de la voie publique. Nous proposons d'habiller ces murs de plantes grimpantes adaptées en fonction de l'exposition et, la où ce n'est pas possible, (au droit des ouvertures) de réaliser des plantations de 4ème grandeur (5 m maxi) cela permettra aussi de prévenir les tags et autres graffitis ... Prévoir aussi des gites pour les oiseaux cavernicoles et les chauve-souris Cet aménagement concerne en particulier l'allée de grand selve, la rue Simone Henry et la rue Flora Tristan",Nature en ville,30000,10,Trois Cocus / Borderouge / Croix-Daurade / Paléficat / Grand Selve,3.3,False,0
