distance_method,algorithm,silhouette,davies_bouldin,calinski_harabasz,norm_silhouette,norm_davies_bouldin,norm_calinski_harabasz,weighted_score,rank
cosine,kmeans,0.1007,1.73,421.4711,0.9012584884998163,0.9999604080300195,1.0,2.401238692514826,1.0
cosine,bissecting_kmeans,0.1283,2.0097,365.7726,1.0,0.9999464313476948,0.8679517769639838,2.4339222208316767,2.0
cosine,Birch,0.0997,2.7568,373.8692,0.8976011081329526,0.9999137288774774,0.8874882493809067,2.3403452338233897,3.0
euclidean,DBSCAN,0.0535,0.7039,65.6542,0.7376420079265622,1.0,0.17526531336647207,1.8252746646097982,4.0
euclidean,OPTICS,0.0517,0.904,66.3392,0.7308898906872117,0.9999974519684714,0.17713775841611595,1.81955852189377,5.0
cosine,OPTICS,0.0165,0.9863,32.3476,0.6084333935167893,0.9999962506705761,0.08417078302940536,1.2345197850314974,6.0
euclidean,bissecting_kmeans,-0.0085,2.3583,145.6989,0.5099220824501808,0.9999312669347305,0.37032733533814465,1.6755857850892332,7.0
euclidean,kmeans,-0.0739,2.521,137.1109,0.24898650887140264,0.999923016045645,0.3458357480869405,1.098429270905193,8.0
cosine,HDBSCAN,0.006,3.9152,21.2606,0.5630662183472302,0.9998673887098976,0.05056130834686481,1.0888978702716638,9.0
euclidean,Birch,-0.0083,3.8022,155.2177,0.5106312489384253,0.9998725411747903,0.39387312271207995,1.2070391302944605,10.0
cosine,affinity_propagation,0.0315,11610.8444,24.4003,0.6664571481232101,0.0,0.05869333386920362,0.6958038150578129,11.0
euclidean,HDBSCAN,-0.0129,4.8858,37.3338,0.4920898975129782,0.999828236317363,0.10571198930599937,1.1404559856727598,12.0
cosine,agglomerative,-0.3,3.1617,0.1837,0.0,0.9998993464741595,0.0,0.49994967323707976,13.0
euclidean,affinity_propagation,-0.16,24715.6194,9.8545,0.37835096087377554,2.716486557963336e-06,0.016016611688312016,0.38635913515244356,14.0
euclidean,agglomerative,-0.2736,1.8449,0.7084,0.05647128130648981,0.9999578770210337,0.0015667228239425797,0.5572559227200026,15.0
cosine,DBSCAN,-0.2247,4.7812,2.3632,0.2249461607135507,0.9998329393428876,0.005737319219823264,0.732815780286812,16.0
