,project_id,votes,approved_binary,cost
62,136,492,1,200000.0
50,7,467,1,150000.0
23,5,358,1,200000.0
0,132,258,1,7500.0
100,71,243,1,20000.0
95,34,206,1,175000.0
107,115,205,1,130000.0
81,19,189,1,200000.0
82,177,189,1,200000.0
34,156,178,1,200000.0
89,9,174,1,30000.0
185,163,164,1,200000.0
132,38,161,1,110000.0
38,17,155,1,1200.0
5,77,145,1,200000.0
174,39,135,1,150000.0
119,110,134,1,200000.0
126,69,130,1,115000.0
128,157,128,1,70000.0
86,44,125,1,11200.0
113,118,125,1,60000.0
124,144,116,1,50000.0
139,72,115,1,60000.0
169,102,115,1,50000.0
149,153,113,1,50000.0
25,135,112,1,200000.0
158,91,111,1,60000.0
117,174,107,1,45000.0
156,12,105,1,200000.0
73,126,103,1,170000.0
36,139,101,1,95000.0
198,32,100,1,192000.0
147,52,96,1,150000.0
178,25,95,1,200000.0
52,125,94,1,199500.0
110,27,94,1,30000.0
154,142,93,1,200000.0
39,141,91,1,1200.0
28,162,90,1,180000.0
31,172,88,1,100000.0
191,128,87,1,3000.0
188,195,85,1,5700.0
164,29,83,1,200000.0
145,193,81,1,80000.0
90,41,79,1,200000.0
193,68,75,1,25000.0
59,203,75,1,6000.0
121,11,74,1,9000.0
85,16,71,1,200000.0
16,106,67,1,50000.0
162,169,67,1,5700.0
153,192,67,1,60000.0
170,58,66,1,45000.0
69,56,64,1,100000.0
58,155,63,1,30000.0
134,84,61,1,7000.0
143,6,61,1,3000.0
67,86,59,1,150000.0
179,76,58,1,100000.0
10,43,52,1,60000.0
111,87,52,1,60000.0
75,49,51,1,70000.0
3,149,50,1,11000.0
152,64,50,1,100000.0
192,94,49,1,1200.0
130,67,48,1,150000.0
30,105,48,1,5320.0
63,108,47,1,35000.0
151,100,46,1,10000.0
116,189,44,1,200000.0
101,60,43,1,10000.0
51,116,38,1,4000.0
6,82,36,1,200000.0
91,201,34,1,10000.0
65,182,33,1,200000.0
68,93,33,1,35000.0
13,107,30,1,40000.0
14,99,29,1,1500.0
194,98,26,1,15000.0
83,92,21,1,200000.0
138,183,21,1,200000.0
105,202,21,1,80000.0
17,101,20,1,160000.0
